Artist,Song,Year,Song Year,Header
The Smiths,How Soon Is Now,1984,How Soon Is Now (1984),Band/Artist from Song
The Mamas & the Papas,California Dreamin',1965,California Dreamin' (1965),Band/Artist from Song
Mariah Carey, Fantasy,1995, Fantasy (1995),Band/Artist from Song
Booker T,Green Onions,1962,Green Onions (1962),Band/Artist from Song
Mark Ronson feat. Bruno Mars, Uptown Funk,2015, Uptown Funk (2015),Band/Artist from Song
Pearl Jam,Alive,1991,Alive (1991),Band/Artist from Song
Depeche Mode,Enjoy the Silence,1990,Enjoy the Silence (1990),Band/Artist from Song
Blondie,Dreaming,1979,Dreaming (1979),Band/Artist from Song
Them,Gloria,1965,Gloria (1965),Band/Artist from Song
Neneh Cherry,Buffalo Stance,1988,Buffalo Stance (1988),Band/Artist from Song
Wilco,Heavy Metal Drummer,2002,Heavy Metal Drummer (2002),Band/Artist from Song
The Allman Brothers Band,Whipping Post,1969,Whipping Post (1969),Band/Artist from Song
Foo Fighters,Everlong,1997,Everlong (1997),Band/Artist from Song
Cat Stevens,Father and Son,1970,Father and Son (1970),Band/Artist from Song
Lynyrd Skynyrd,Free Bird,1973,Free Bird (1973),Band/Artist from Song
Run-DMC,Sucker M.C.'s,1984,Sucker M.C.'s (1984),Band/Artist from Song
Selena, Amor Prohibido,1994, Amor Prohibido (1994),Band/Artist from Song
Kiss,Rock and Roll All Nite,1974,Rock and Roll All Nite (1974),Band/Artist from Song
Rufus and Chaka Khan,Ain't Nobody,1983,Ain't Nobody (1983),Band/Artist from Song
Bill Withers,Lovely Day,1977,Lovely Day (1977),Band/Artist from Song
Fleetwood Mac,Go Your Own Way,1977,Go Your Own Way (1977),Band/Artist from Song
David Bowie, Station to Station,1976, Station to Station (1976),Band/Artist from Song
Sylvester,You Make Me Feel (Mighty Real),1978,You Make Me Feel (Mighty Real) (1978),Band/Artist from Song
Duran Duran, Hungry Like the Wolf,1982, Hungry Like the Wolf (1982),Band/Artist from Song
Public Enemy,Bring the Noise,1987,Bring the Noise (1987),Band/Artist from Song
Elvis Costello,Alison,1977,Alison (1977),Band/Artist from Song
Afrika Bambaataa, Planet Rock,1982, Planet Rock (1982),Band/Artist from Song
Jeff Buckley,Grace,1994,Grace (1994),Band/Artist from Song
James Brown,Say It Loud,1968,Say It Loud (1968),Band/Artist from Song
Coldplay,Fix You,2005,Fix You (2005),Band/Artist from Song
Eric Church, Springsteen,2011, Springsteen (2011),Band/Artist from Song
Metallica,Enter Sandman,1991,Enter Sandman (1991),Band/Artist from Song
The Pretenders,Brass in Pocket,1979,Brass in Pocket (1979),Band/Artist from Song
DMX,Party Up (Up in Here),1999,Party Up (Up in Here) (1999),Band/Artist from Song
The New York Dolls,Personality Crisis,1973,Personality Crisis (1973),Band/Artist from Song
The Kinks, Lola,1970, Lola (1970),Band/Artist from Song
Diana Ross,I'm Coming Out,1980,I'm Coming Out (1980),Band/Artist from Song
"Cardi B, Bad Bunny and J Balvin",I Like It,2018,I Like It (2018),Band/Artist from Song
Childish Gambino,Redbone,2016,Redbone (2016),Band/Artist from Song
Fiona Apple,Paper Bag,1999,Paper Bag (1999),Band/Artist from Song
The Slits,Typical Girls,1979,Typical Girls (1979),Band/Artist from Song
Fountains of Wayne,Radiation Vibe,1996,Radiation Vibe (1996),Band/Artist from Song
D'Angelo, Untitled (How Does It Feel),2000, Untitled (How Does It Feel) (2000),Band/Artist from Song
The Killers,Mr. Brightside,2003,Mr. Brightside (2003),Band/Artist from Song
The Cure,Pictures of You,1989,Pictures of You (1989),Band/Artist from Song
Merle Haggard,Mama Tried,1968,Mama Tried (1968),Band/Artist from Song
Drifters,Up On the Roof,1964,Up On the Roof (1964),Band/Artist from Song
William DeVaughn,Be Thankful for What You Got,1974,Be Thankful for What You Got (1974),Band/Artist from Song
Drake,Hotline Bling,2015,Hotline Bling (2015),Band/Artist from Song
Bonnie Raitt,I Can't Make You Love Me,1991,I Can't Make You Love Me (1991),Band/Artist from Song
Elton John,Bennie and the Jets,1973,Bennie and the Jets (1973),Band/Artist from Song
Buddy Holly,Peggy Sue,1958,Peggy Sue (1958),Band/Artist from Song
The Cars,Just What I Needed,1978,Just What I Needed (1978),Band/Artist from Song
Soundgarden,Black Hole Sun,1994,Black Hole Sun (1994),Band/Artist from Song
Frank Ocean, Thinkin' About You,2012, Thinkin' About You (2012),Band/Artist from Song
The Crystals,Da Doo Run Run,1962,Da Doo Run Run (1962),Band/Artist from Song
The Sex Pistols,God Save the Queen,1977,God Save the Queen (1977),Band/Artist from Song
Grateful Dead,Box of Rain,1970,Box of Rain (1970),Band/Artist from Song
Bob Marley,Could You Be Loved,1980,Could You Be Loved (1980),Band/Artist from Song
Kacey Musgraves,Merry Go Round,2013,Merry Go Round (2013),Band/Artist from Song
Jimmy Cliff,The Harder They Come,1972,The Harder They Come (1972),Band/Artist from Song
Prince,Little Red Corvette,1982,Little Red Corvette (1982),Band/Artist from Song
The Fugees,Killing Me Softly with His Song,1996,Killing Me Softly with His Song (1996),Band/Artist from Song
Patti Smith,Because the Night,1978,Because the Night (1978),Band/Artist from Song
Taylor Swift, Blank Space,2014, Blank Space (2014),Band/Artist from Song
Cheap Trick,Surrender,1978,Surrender (1978),Band/Artist from Song
Thelma Houston,Don't Leave Me This Way,1976,Don't Leave Me This Way (1976),Band/Artist from Song
Michael Jackson,Rock With You,1979,Rock With You (1979),Band/Artist from Song
The Eurythmics,Sweet Dreams (Are Made of This),1983,Sweet Dreams (Are Made of This) (1983),Band/Artist from Song
Ice Cube,It Was a Good Day,1992,It Was a Good Day (1992),Band/Artist from Song
Jorge Ben,Ponta De Lanca Africano (Umbabarauma),1976,Ponta De Lanca Africano (Umbabarauma) (1976),Band/Artist from Song
John Prine,Angel in Montgomery,1971,Angel in Montgomery (1971),Band/Artist from Song
Zombies,Time of the Season,1968,Time of the Season (1968),Band/Artist from Song
Roxy Music,Virginia Plain,1972,Virginia Plain (1972),Band/Artist from Song
Elvis, Heartbreak Hotel,1956, Heartbreak Hotel (1956),Band/Artist from Song
BTS,Dynamite,2020,Dynamite (2020),Band/Artist from Song
Carole King,It's Too Late,1971,It's Too Late (1971),Band/Artist from Song
Black Sabbath,Iron Man,1971,Iron Man (1971),Band/Artist from Song
The Doobie Brothers,What a Fool Believes,1979,What a Fool Believes (1979),Band/Artist from Song
Chuck Berry,Promised Land,1964,Promised Land (1964),Band/Artist from Song
Monkees,I'm a Believer,1966,I'm a Believer (1966),Band/Artist from Song
The Clash,(White Man) In Hammersmith Palais,1978,(White Man) In Hammersmith Palais (1978),Band/Artist from Song
Prince,1999,1982,1999 (1982),Band/Artist from Song
Black Sabbath,Paranoid,1970,Paranoid (1970),Band/Artist from Song
Cher,Believe,1998,Believe (1998),Band/Artist from Song
Hall and Oates,She's Gone,1973,She's Gone (1973),Band/Artist from Song
Marshall Jefferson,Move Your Body (The House Music Anthem),1986,Move Your Body (The House Music Anthem) (1986),Band/Artist from Song
Grateful Dead,Ripple,1970,Ripple (1970),Band/Artist from Song
The Temptations,Papa Was a Rollin' Stone,1972,Papa Was a Rollin' Stone (1972),Band/Artist from Song
Rihanna, Umbrella,2007, Umbrella (2007),Band/Artist from Song
The Marvelettes,Please Mr. Postman,1961,Please Mr. Postman (1961),Band/Artist from Song
The Notorious B.I.G.,Big Poppa,1994,Big Poppa (1994),Band/Artist from Song
Bad Bunny,Safaera,2020,Safaera (2020),Band/Artist from Song
Red Hot Chili Peppers, Under the Bridge,1991, Under the Bridge (1991),Band/Artist from Song
Mary J. Blige,Real Love,1992,Real Love (1992),Band/Artist from Song
Rilo Kiley,Portions for Foxes,2004,Portions for Foxes (2004),Band/Artist from Song
Iggy Pop,Lust for Life,1977,Lust for Life (1977),Band/Artist from Song
Billy Joel,Scenes from an Italian Restaurant,1977,Scenes from an Italian Restaurant (1977),Band/Artist from Song
Everly Brothers,All I Have to Do Is Dream,1958,All I Have to Do Is Dream (1958),Band/Artist from Song
Neil Young,After the Gold Rush,1970,After the Gold Rush (1970),Band/Artist from Song
U2,I Still Haven't Found,1987,I Still Haven't Found (1987),Band/Artist from Song
2Pac,California Love,1995,California Love (1995),Band/Artist from Song
Tears for Fears, Everybody Wants to Rule the World,1985, Everybody Wants to Rule the World (1985),Band/Artist from Song
Big Mama Thornton,Hound Dog,1953,Hound Dog (1953),Band/Artist from Song
Bob Dylan, Visions of Johanna,1966, Visions of Johanna (1966),Band/Artist from Song
Shangri-Las,Leader of the Pack,1964,Leader of the Pack (1964),Band/Artist from Song
John Coltrane,"A Love Supreme, Pt. I – Acknowledgement",1965,"A Love Supreme, Pt. I – Acknowledgement (1965)",Band/Artist from Song
The Stooges,I Wanna Be Your Dog,1969,I Wanna Be Your Dog (1969),Band/Artist from Song
Smokey Robinson and the Miracles,The Tears of a Clown,1967,The Tears of a Clown (1967),Band/Artist from Song
Isaac Hayes,Walk on By,1969,Walk on By (1969),Band/Artist from Song
Eagles, Hotel California,1977, Hotel California (1977),Band/Artist from Song
The Doors,Light My Fire,1967,Light My Fire (1967),Band/Artist from Song
Bill Withers,Ain't No Sunshine,1971,Ain't No Sunshine (1971),Band/Artist from Song
Liz Phair,Divorce Song,1993,Divorce Song (1993),Band/Artist from Song
Gnarls Barkley,Crazy,2006,Crazy (2006),Band/Artist from Song
Aretha Franklin,Chain of Fools,1967,Chain of Fools (1967),Band/Artist from Song
The Police,Every Breath You Take,1983,Every Breath You Take (1983),Band/Artist from Song
Kraftwerk,Trans-Europe Express,1977,Trans-Europe Express (1977),Band/Artist from Song
TLC,No Scrubs,1999,No Scrubs (1999),Band/Artist from Song
Pink Floyd,Wish You Were Here,1975,Wish You Were Here (1975),Band/Artist from Song
Bob Seger,Night Moves,1978,Night Moves (1978),Band/Artist from Song
B-52s,Rock Lobster,1978,Rock Lobster (1978),Band/Artist from Song
Jay Hawkins,I Put a Spell on You,1956,I Put a Spell on You (1956),Band/Artist from Song
Bruce Springsteen,Jungleland,1975,Jungleland (1975),Band/Artist from Song
Beach Boys,Wouldn't It Be Nice,1966,Wouldn't It Be Nice (1966),Band/Artist from Song
Bikini Kill,Rebel Girl,1996,Rebel Girl (1996),Band/Artist from Song
The Who, Won't Get Fooled Again,1971, Won't Get Fooled Again (1971),Band/Artist from Song
Velvet Underground,Sweet Jane,1970,Sweet Jane (1970),Band/Artist from Song
Alice Cooper,School's Out,1973,School's Out (1973),Band/Artist from Song
A Tribe Called Quest,Can I Kick it,1990,Can I Kick it (1990),Band/Artist from Song
Phil Collins,In the Air Tonight,1981,In the Air Tonight (1981),Band/Artist from Song
Usher, Yeah,2004, Yeah (2004),Band/Artist from Song
Bruce Springsteen,Atlantic City,1982,Atlantic City (1982),Band/Artist from Song
The Funky Four Plus One,That's the Joint,1980,That's the Joint (1980),Band/Artist from Song
AC/DC,You Shook Me All Night Long,1980,You Shook Me All Night Long (1980),Band/Artist from Song
ABBA,Dancing Queen,1976,Dancing Queen (1976),Band/Artist from Song
Destiny's Child,Say My Name,1999,Say My Name (1999),Band/Artist from Song
Leonard Cohen,Suzanne,1967,Suzanne (1967),Band/Artist from Song
Ray Charles,Georgia on My Mind,1960,Georgia on My Mind (1960),Band/Artist from Song
INXS,Never Tear Us Apart,1988,Never Tear Us Apart (1988),Band/Artist from Song
Clipse,Grindin',2002,Grindin' (2002),Band/Artist from Song
The Beatles,Penny Lane,1967,Penny Lane (1967),Band/Artist from Song
Radiohead,Karma Police,1997,Karma Police (1997),Band/Artist from Song
Toots and the Maytals,Pressure Drop,1970,Pressure Drop (1970),Band/Artist from Song
Bo Diddley,Bo Diddley,1955,Bo Diddley (1955),Band/Artist from Song
Buzzcocks,Ever Fallen in Love (With Someone You Shouldn't've),1977,Ever Fallen in Love (With Someone You Shouldn't've) (1977),Band/Artist from Song
Randy Newman,Sail Away,1972,Sail Away (1972),Band/Artist from Song
Al Green,Love and Happiness,1972,Love and Happiness (1972),Band/Artist from Song
Roberta Flack,Killing Me Softly with His Song,1973,Killing Me Softly with His Song (1973),Band/Artist from Song
Thin Lizzy,The Boys Are Back in Town,1976,The Boys Are Back in Town (1976),Band/Artist from Song
Procol Harum,A Whiter Shade of Pale,1967,A Whiter Shade of Pale (1967),Band/Artist from Song
Nine Inch Nails,Closer,1994,Closer (1994),Band/Artist from Song
The Righteous Brothers,Unchained Melody,1965,Unchained Melody (1965),Band/Artist from Song
The Isley Brothers,Shout (Parts 1 and 2),1959,Shout (Parts 1 and 2) (1959),Band/Artist from Song
Drake,Take Care,2011,Take Care (2011),Band/Artist from Song
