INVOICE_NUMBER,INVOICE_DATE,TOTAL_DUE,PO_NUMBER,DISCOUNT_MESSAGE,DUE_DATE,TERMS,DISCOUNT_AMOUNT
51663405,8/11/2023,795.55,DISCOVERY STORAGE,,10/29/2023,1% 2ND EOM,7.97
51686082,8/11/2023,79.55,TIM COTE,,10/29/2023,1% 2ND EOM,0.79
51753122,8/14/2023,909.5,NICK,,10/29/2023,1% 2ND EOM,9.09
51821028,8/15/2023,141.24,,,10/29/2023,1% 2ND EOM,1.41
51833052,8/16/2023,454.71,CHUCK HOUSE,,10/29/2023,1% 2ND EOM,4.55
51860040,8/16/2023,1280.79,DE STEPHENS CONVEN,,10/29/2023,1% 2ND EOM,12.81
